Node,Temperature (°C),Congestion (%),Weighted Score
0,32.425874909230586,11.511102185960647,17.785534002941628
1,43.30474365559023,18.291466008584308,25.795449302686084
2,35.532617260149074,41.60611887066217,39.78406838750824
3,27.391267039105802,74.7206400633938,60.521828156107404
4,26.36266442677243,33.18204827266106,31.136233118894474
5,27.286215225798298,20.380391959078338,22.452138939094326
6,28.016968979673358,33.55527115681423,31.893780503671966
7,45.478394137931595,14.800373899761091,24.00377997121224
8,48.29456774008173,75.93237597137274,67.64103350198543
9,36.35983666720919,76.56148867371034,64.50099307175999
10,26.94361322840578,67.10959368909215,55.05979955088624
11,28.19762666735007,28.726259853378068,28.567669897569665
12,34.22711316918674,75.15304571986182,62.8752659546593
13,33.54632912315321,50.65884413303004,45.52508963006699
14,45.64366364231155,19.874547361684634,27.605282245872708
15,39.843428714438474,,
